"tweetid","originaltext","text","sentiment","score","sentimentnegscore","sentimentneuscore","sentimentposscore","src","type","entity"
1322466011405312000,"RT @Tsenda_40512: Buy Telkom Airtime from MPESA by simply texting your mobile number followed by hash (#) and amount

e.g. 1234567890#100 a…","RT @Tsenda_40512: Buy Telkom Airtime from MPESA by simply texting your mobile number followed by hash (#) and amount

e.g. 1234567890#100 a…","NEUTRAL",0.9398,0.0062,0.987,0.0067,"Twitter for Android","OTHER","#100"
1322466804229394400,"RT @Tsenda_40512: Buy Telkom Airtime from MPESA by simply texting your mobile number followed by hash (#) and amount

e.g. 1234567890#100 a…","RT @Tsenda_40512: Buy Telkom Airtime from MPESA by simply texting your mobile number followed by hash (#) and amount

e.g. 1234567890#100 a…","NEUTRAL",0.9398,0.0062,0.987,0.0067,"Twitter for Android","OTHER","#100"
1322460911148372000,"20 mbps downloading speed and 2 mbps uploading speed yet my ps4 won't load #Apex with #TelkomZa","20 mbps downloading speed and 2 mbps uploading speed yet my ps4 won't load #Apex with #TelkomZa","NEGATIVE",0.7771,0.6792,0.2854,0.0353,"Twitter for Android","TITLE","#Apex"
1322583815601197000,"Telkom network,I hope they'll save the video #EricaOfLagos https://t.co/xRQSVfQFpN","Telkom network,I hope they'll save the video #EricaOfLagos https://t.co/xRQSVfQFpN","NEUTRAL",0.3832,0.1068,0.6964,0.1968,"Twitter for Android","TITLE","#EricaOfLagos"
1322127680322625500,"RT @TelkomMYSIM: #GetSmartLTE Huawei E5576 MiFi Router + 20GB Telkom prepaid data deal @R798.00. Visit our online store today to order Smar…","RT @TelkomMYSIM: #GetSmartLTE Huawei E5576 MiFi Router + 20GB Telkom prepaid data deal @R798.00. Visit our online store today to order Smar…","NEUTRAL",0.9234,0.0006,0.9861,0.0133,"Twitter for Android","COMMERCIAL_ITEM","#GetSmartLTE"
1322478173687337000,"It may be #Halloween, but there's nothing spooky about this deal!

Get the #HuaweiPSmartS on a Telkom FreeMe 1.5GB… https://t.co/GK1ALoUfS1","It may be #Halloween, but there's nothing spooky about this deal!

Get the #HuaweiPSmartS on a Telkom FreeMe 1.5GB… https://t.co/GK1ALoUfS1","NEUTRAL",0.7958,0.2036,0.4001,0.3962,"Sprout Social","EVENT","#Halloween"
1322487985342943200,"RT @HuaweiZA: It may be #Halloween, but there's nothing spooky about this deal!

Get the #HuaweiPSmartS on a Telkom FreeMe 1.5GB contract f…","RT @HuaweiZA: It may be #Halloween, but there's nothing spooky about this deal!

Get the #HuaweiPSmartS on a Telkom FreeMe 1.5GB contract f…","NEUTRAL",0.7602,0.1429,0.6611,0.1959,"Twitter Web App","EVENT","#Halloween"
1322497126522359800,"RT @HuaweiZA: It may be #Halloween, but there's nothing spooky about this deal!

Get the #HuaweiPSmartS on a Telkom FreeMe 1.5GB contract f…","RT @HuaweiZA: It may be #Halloween, but there's nothing spooky about this deal!

Get the #HuaweiPSmartS on a Telkom FreeMe 1.5GB contract f…","NEUTRAL",0.7602,0.1429,0.6611,0.1959,"Twitter for Android","EVENT","#Halloween"
1322590571836461000,"RT @HuaweiZA: It may be #Halloween, but there's nothing spooky about this deal!

Get the #HuaweiPSmartS on a Telkom FreeMe 1.5GB contract f…","RT @HuaweiZA: It may be #Halloween, but there's nothing spooky about this deal!

Get the #HuaweiPSmartS on a Telkom FreeMe 1.5GB contract f…","NEUTRAL",0.7602,0.1429,0.6611,0.1959,"Twitter for Android","EVENT","#Halloween"
1322478173687337000,"It may be #Halloween, but there's nothing spooky about this deal!

Get the #HuaweiPSmartS on a Telkom FreeMe 1.5GB… https://t.co/GK1ALoUfS1","It may be #Halloween, but there's nothing spooky about this deal!

Get the #HuaweiPSmartS on a Telkom FreeMe 1.5GB… https://t.co/GK1ALoUfS1","NEUTRAL",0.8825,0.2036,0.4001,0.3962,"Sprout Social","COMMERCIAL_ITEM","#HuaweiPSmartS"
